"Bestand","RelatiefPad","GrootteKB"
"runtime.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\02-route-segment-config\runtime.md","0,6"
"default.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\default.md","3,4"
"dynamic-routes.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\dynamic-routes.md","14,4"
"error.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\error.md","10,6"
"forbidden.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\forbidden.md","1,2"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\index.md","0,1"
"instrumentation.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\instrumentation.md","5"
"instrumentation-client.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\instrumentation-client.md","6,3"
"intercepting-routes.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\intercepting-routes.md","3,8"
"layout.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\layout.md","20,5"
"loading.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\loading.md","10"
"mdx-components.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\mdx-components.md","1,5"
"not-found.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\not-found.md","7,5"
"page.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\page.md","8,3"
"parallel-routes.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\parallel-routes.md","14,8"
"proxy.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\proxy.md","29,2"
"public-folder.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\public-folder.md","1,8"
"route.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\route.md","19,5"
"route-groups.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\route-groups.md","1,6"
"src-folder.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\src-folder.md","2"
"template.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\template.md","5,1"
"unauthorized.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\unauthorized.md","2,5"
"after.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\after.md","11"
"cacheLife.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\cacheLife.md","19,5"
"cacheTag.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\cacheTag.md","5,4"
"catchError.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\catchError.md","8,6"
"connection.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\connection.md","2,6"
"cookies.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\cookies.md","11,8"
"draft-mode.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\draft-mode.md","5,3"
"fetch.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\fetch.md","5,7"
"forbidden.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\forbidden.md","4,4"
"generate-image-metadata.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\generate-image-metadata.md","7,3"
"generate-metadata.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\generate-metadata.md","47"
"generate-sitemaps.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\generate-sitemaps.md","3,1"
"generate-static-params.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\generate-static-params.md","17,6"
"generate-viewport.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\generate-viewport.md","8,1"
"headers.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\headers.md","3,8"
"image-response.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\image-response.md","5,6"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\index.md","0,3"
"next-request.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\next-request.md","6,1"
"next-response.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\next-response.md","6,4"
"not-found.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\not-found.md","1,4"
"permanentRedirect.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\permanentRedirect.md","3,1"
"redirect.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\redirect.md","7,7"
"refresh.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\refresh.md","1,3"
"revalidatePath.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\revalidatePath.md","7,8"
"revalidateTag.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\revalidateTag.md","5,8"
"unauthorized.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\unauthorized.md","5,6"
"unstable_cache.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\unstable_cache.md","3,5"
"unstable_noStore.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\unstable_noStore.md","1,7"
"unstable_rethrow.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\unstable_rethrow.md","2,9"
"updateTag.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\updateTag.md","4,9"
"use-link-status.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\use-link-status.md","6,7"
"use-params.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\use-params.md","2,4"
"use-pathname.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\use-pathname.md","5,7"
"userAgent.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\userAgent.md","3,1"
"use-report-web-vitals.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\use-report-web-vitals.md","8,1"
"use-router.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\use-router.md","6,8"
"use-search-params.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\use-search-params.md","13,6"
"use-selected-layout-segment.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\use-selected-layout-segment.md","6,1"
"use-selected-layout-segments.md","node_modules\next\dist\docs\01-app\03-api-reference\04-functions\use-selected-layout-segments.md","3,8"
"adapterPath.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\adapterPath.md","2,6"
"allowedDevOrigins.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\allowedDevOrigins.md","1"
"appDir.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\appDir.md","0,8"
"assetPrefix.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\assetPrefix.md","3,5"
"authInterrupts.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\authInterrupts.md","1"
"basePath.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\basePath.md","2,1"
"cacheComponents.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\cacheComponents.md","3,7"
"cacheHandlers.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\cacheHandlers.md","19,4"
"cacheLife.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\cacheLife.md","2,9"
"compress.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\compress.md","1,6"
"crossOrigin.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\crossOrigin.md","1,2"
"cssChunking.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\cssChunking.md","2"
"deploymentId.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\deploymentId.md","3,4"
"devIndicators.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\devIndicators.md","3,4"
"distDir.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\distDir.md","0,8"
"env.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\env.md","2,3"
"expireTime.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\expireTime.md","1"
"exportPathMap.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\exportPathMap.md","4,2"
"generateBuildId.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\generateBuildId.md","0,9"
"generateEtags.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\generateEtags.md","0,7"
"headers.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\headers.md","17,9"
"htmlLimitedBots.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\htmlLimitedBots.md","1,9"
"httpAgentOptions.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\httpAgentOptions.md","0,9"
"images.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\images.md","8,6"
"incrementalCacheHandlerPath.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\incrementalCacheHandlerPath.md","5,2"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\index.md","4,6"
"inlineCss.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\inlineCss.md","3,6"
"logging.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\logging.md","4,9"
"mdxRs.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\mdxRs.md","0,5"
"onDemandEntries.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\onDemandEntries.md","0,9"
"optimizePackageImports.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\optimizePackageImports.md","1,4"
"output.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\output.md","6,8"
"pageExtensions.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\pageExtensions.md","2"
"poweredByHeader.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\poweredByHeader.md","0,6"
"productionBrowserSourceMaps.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\productionBrowserSourceMaps.md","1,1"
"proxyClientMaxBodySize.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\proxyClientMaxBodySize.md","3,3"
"reactCompiler.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\reactCompiler.md","2,7"
"reactMaxHeadersLength.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\reactMaxHeadersLength.md","0,9"
"reactStrictMode.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\reactStrictMode.md","1,3"
"redirects.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\redirects.md","12,6"
"rewrites.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\rewrites.md","16,6"
"sassOptions.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\sassOptions.md","1,1"
"serverActions.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\serverActions.md","2"
"serverComponentsHmrCache.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\serverComponentsHmrCache.md","1,4"
"serverExternalPackages.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\serverExternalPackages.md","2,6"
"staleTimes.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\staleTimes.md","2"
"staticGeneration.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\staticGeneration.md","1,1"
"taint.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\taint.md","6,4"
"trailingSlash.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\trailingSlash.md","1,5"
"transpilePackages.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\transpilePackages.md","2,7"
"turbopack.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\turbopack.md","17,8"
"turbopackFileSystemCache.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\turbopackFileSystemCache.md","1,6"
"turbopackIgnoreIssue.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\turbopackIgnoreIssue.md","4,6"
"turbopackLocalPostcssConfig.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\turbopackLocalPostcssConfig.md","2,3"
"typedRoutes.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\typedRoutes.md","0,5"
"typescript.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\typescript.md","2,2"
"urlImports.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\urlImports.md","2,8"
"useLightningcss.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\useLightningcss.md","6,7"
"viewTransition.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\viewTransition.md","1,6"
"webpack.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\webpack.md","3,2"
"webVitalsAttribution.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\01-next-config-js\webVitalsAttribution.md","1,9"
"02-typescript.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\02-typescript.md","20,8"
"03-eslint.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\03-eslint.md","17,8"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\05-config\index.md","0,1"
"create-next-app.md","node_modules\next\dist\docs\01-app\03-api-reference\06-cli\create-next-app.md","7,5"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\06-cli\index.md","0,7"
"next.md","node_modules\next\dist\docs\01-app\03-api-reference\06-cli\next.md","25,6"
"01-configuration.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\01-configuration.md","0,5"
"02-creating-an-adapter.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\02-creating-an-adapter.md","2,9"
"03-api-reference.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\03-api-reference.md","1,9"
"04-testing-adapters.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\04-testing-adapters.md","7,2"
"05-routing-with-next-routing.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\05-routing-with-next-routing.md","2,2"
"06-implementing-ppr-in-an-adapter.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\06-implementing-ppr-in-an-adapter.md","3,6"
"07-runtime-integration.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\07-runtime-integration.md","2,7"
"08-invoking-entrypoints.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\08-invoking-entrypoints.md","3,7"
"09-output-types.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\09-output-types.md","8,5"
"10-routing-information.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\10-routing-information.md","1,3"
"11-use-cases.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\11-use-cases.md","0,6"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\07-adapters\index.md","1"
"07-edge.md","node_modules\next\dist\docs\01-app\03-api-reference\07-edge.md","28,6"
"08-turbopack.md","node_modules\next\dist\docs\01-app\03-api-reference\08-turbopack.md","28"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\index.md","0,1"
"04-glossary.md","node_modules\next\dist\docs\01-app\04-glossary.md","20,4"
"index.md","node_modules\next\dist\docs\01-app\index.md","0,9"
"01-installation.md","node_modules\next\dist\docs\02-pages\01-getting-started\01-installation.md","0,6"
"02-project-structure.md","node_modules\next\dist\docs\02-pages\01-getting-started\02-project-structure.md","0,6"
"04-images.md","node_modules\next\dist\docs\02-pages\01-getting-started\04-images.md","0,6"
"05-fonts.md","node_modules\next\dist\docs\02-pages\01-getting-started\05-fonts.md","0,6"
"06-css.md","node_modules\next\dist\docs\02-pages\01-getting-started\06-css.md","0,7"
"11-deploying.md","node_modules\next\dist\docs\02-pages\01-getting-started\11-deploying.md","0,2"
"index.md","node_modules\next\dist\docs\02-pages\01-getting-started\index.md","0,2"
"analytics.md","node_modules\next\dist\docs\02-pages\02-guides\analytics.md","0,5"
"authentication.md","node_modules\next\dist\docs\02-pages\02-guides\authentication.md","0,6"
"babel.md","node_modules\next\dist\docs\02-pages\02-guides\babel.md","2,1"
"ci-build-caching.md","node_modules\next\dist\docs\02-pages\02-guides\ci-build-caching.md","0,5"
"content-security-policy.md","node_modules\next\dist\docs\02-pages\02-guides\content-security-policy.md","0,6"
"css-in-js.md","node_modules\next\dist\docs\02-pages\02-guides\css-in-js.md","0,5"
"custom-server.md","node_modules\next\dist\docs\02-pages\02-guides\custom-server.md","0,5"
"debugging.md","node_modules\next\dist\docs\02-pages\02-guides\debugging.md","0,5"
"draft-mode.md","node_modules\next\dist\docs\02-pages\02-guides\draft-mode.md","8"
"environment-variables.md","node_modules\next\dist\docs\02-pages\02-guides\environment-variables.md","0,5"
"forms.md","node_modules\next\dist\docs\02-pages\02-guides\forms.md","8,7"
"incremental-static-regeneration.md","node_modules\next\dist\docs\02-pages\02-guides\incremental-static-regeneration.md","0,6"
"index.md","node_modules\next\dist\docs\02-pages\02-guides\index.md","0,1"
"instrumentation.md","node_modules\next\dist\docs\02-pages\02-guides\instrumentation.md","0,5"
"internationalization.md","node_modules\next\dist\docs\02-pages\02-guides\internationalization.md","14,7"
"lazy-loading.md","node_modules\next\dist\docs\02-pages\02-guides\lazy-loading.md","0,6"
"mdx.md","node_modules\next\dist\docs\02-pages\02-guides\mdx.md","0,5"
"app-router-migration.md","node_modules\next\dist\docs\02-pages\02-guides\migrating\app-router-migration.md","0,6"
"from-create-react-app.md","node_modules\next\dist\docs\02-pages\02-guides\migrating\from-create-react-app.md","0,6"
"from-vite.md","node_modules\next\dist\docs\02-pages\02-guides\migrating\from-vite.md","0,5"
"index.md","node_modules\next\dist\docs\02-pages\02-guides\migrating\index.md","0,1"
"multi-zones.md","node_modules\next\dist\docs\02-pages\02-guides\multi-zones.md","0,6"
"open-telemetry.md","node_modules\next\dist\docs\02-pages\02-guides\open-telemetry.md","0,5"
"package-bundling.md","node_modules\next\dist\docs\02-pages\02-guides\package-bundling.md","0,6"
"post-css.md","node_modules\next\dist\docs\02-pages\02-guides\post-css.md","5,7"
"preview-mode.md","node_modules\next\dist\docs\02-pages\02-guides\preview-mode.md","14"
"production-checklist.md","node_modules\next\dist\docs\02-pages\02-guides\production-checklist.md","0,6"
"redirecting.md","node_modules\next\dist\docs\02-pages\02-guides\redirecting.md","0,5"
"sass.md","node_modules\next\dist\docs\02-pages\02-guides\sass.md","0,5"
"scripts.md","node_modules\next\dist\docs\02-pages\02-guides\scripts.md","0,5"
"self-hosting.md","node_modules\next\dist\docs\02-pages\02-guides\self-hosting.md","0,6"
"static-exports.md","node_modules\next\dist\docs\02-pages\02-guides\static-exports.md","0,6"
"tailwind-v3-css.md","node_modules\next\dist\docs\02-pages\02-guides\tailwind-v3-css.md","0,4"
"cypress.md","node_modules\next\dist\docs\02-pages\02-guides\testing\cypress.md","0,5"
"index.md","node_modules\next\dist\docs\02-pages\02-guides\testing\index.md","0,5"
"jest.md","node_modules\next\dist\docs\02-pages\02-guides\testing\jest.md","0,5"
"playwright.md","node_modules\next\dist\docs\02-pages\02-guides\testing\playwright.md","0,5"
"vitest.md","node_modules\next\dist\docs\02-pages\02-guides\testing\vitest.md","0,5"
"third-party-libraries.md","node_modules\next\dist\docs\02-pages\02-guides\third-party-libraries.md","0,6"
"codemods.md","node_modules\next\dist\docs\02-pages\02-guides\upgrading\codemods.md","0,5"
"index.md","node_modules\next\dist\docs\02-pages\02-guides\upgrading\index.md","0,2"
"version-10.md","node_modules\next\dist\docs\02-pages\02-guides\upgrading\version-10.md","0,6"
"version-11.md","node_modules\next\dist\docs\02-pages\02-guides\upgrading\version-11.md","6,4"
"version-12.md","node_modules\next\dist\docs\02-pages\02-guides\upgrading\version-12.md","7,3"
"version-13.md","node_modules\next\dist\docs\02-pages\02-guides\upgrading\version-13.md","5,2"
"version-14.md","node_modules\next\dist\docs\02-pages\02-guides\upgrading\version-14.md","0,5"
"version-9.md","node_modules\next\dist\docs\02-pages\02-guides\upgrading\version-9.md","6"
"01-pages-and-layouts.md","node_modules\next\dist\docs\02-pages\03-building-your-application\01-routing\01-pages-and-layouts.md","6,7"
"02-dynamic-routes.md","node_modules\next\dist\docs\02-pages\03-building-your-application\01-routing\02-dynamic-routes.md","3,1"
"03-linking-and-navigating.md","node_modules\next\dist\docs\02-pages\03-building-your-application\01-routing\03-linking-and-navigating.md","6,2"
"05-custom-app.md","node_modules\next\dist\docs\02-pages\03-building-your-application\01-routing\05-custom-app.md","3,2"
"06-custom-document.md","node_modules\next\dist\docs\02-pages\03-building-your-application\01-routing\06-custom-document.md","4,7"
"07-api-routes.md","node_modules\next\dist\docs\02-pages\03-building-your-application\01-routing\07-api-routes.md","15,4"
"08-custom-error.md","node_modules\next\dist\docs\02-pages\03-building-your-application\01-routing\08-custom-error.md","3,7"
"index.md","node_modules\next\dist\docs\02-pages\03-building-your-application\01-routing\index.md","0,3"
"01-server-side-rendering.md","node_modules\next\dist\docs\02-pages\03-building-your-application\02-rendering\01-server-side-rendering.md","1,3"
"02-static-site-generation.md","node_modules\next\dist\docs\02-pages\03-building-your-application\02-rendering\02-static-site-generation.md","10"
"04-automatic-static-optimization.md","node_modules\next\dist\docs\02-pages\03-building-your-application\02-rendering\04-automatic-static-optimization.md","3,7"
"05-client-side-rendering.md","node_modules\next\dist\docs\02-pages\03-building-your-application\02-rendering\05-client-side-rendering.md","3,9"
"index.md","node_modules\next\dist\docs\02-pages\03-building-your-application\02-rendering\index.md","1,7"
"01-get-static-props.md","node_modules\next\dist\docs\02-pages\03-building-your-application\03-data-fetching\01-get-static-props.md","9,2"
"02-get-static-paths.md","node_modules\next\dist\docs\02-pages\03-building-your-application\03-data-fetching\02-get-static-paths.md","5,1"
"03-get-server-side-props.md","node_modules\next\dist\docs\02-pages\03-building-your-application\03-data-fetching\03-get-server-side-props.md","4,9"
"05-client-side.md","node_modules\next\dist\docs\02-pages\03-building-your-application\03-data-fetching\05-client-side.md","2,6"
"index.md","node_modules\next\dist\docs\02-pages\03-building-your-application\03-data-fetching\index.md","4,3"
"12-error-handling.md","node_modules\next\dist\docs\02-pages\03-building-your-application\06-configuring\12-error-handling.md","3,9"
"index.md","node_modules\next\dist\docs\02-pages\03-building-your-application\06-configuring\index.md","0,3"
"index.md","node_modules\next\dist\docs\02-pages\03-building-your-application\index.md","0,1"
"font.md","node_modules\next\dist\docs\02-pages\04-api-reference\01-components\font.md","0,5"
"form.md","node_modules\next\dist\docs\02-pages\04-api-reference\01-components\form.md","0,5"
"head.md","node_modules\next\dist\docs\02-pages\04-api-reference\01-components\head.md","2,1"
"image.md","node_modules\next\dist\docs\02-pages\04-api-reference\01-components\image.md","0,5"
"image-legacy.md","node_modules\next\dist\docs\02-pages\04-api-reference\01-components\image-legacy.md","31,5"
"index.md","node_modules\next\dist\docs\02-pages\04-api-reference\01-components\index.md","0,5"
"link.md","node_modules\next\dist\docs\02-pages\04-api-reference\01-components\link.md","0,4"
"script.md","node_modules\next\dist\docs\02-pages\04-api-reference\01-components\script.md","0,5"
"index.md","node_modules\next\dist\docs\02-pages\04-api-reference\02-file-conventions\index.md","0,1"
"instrumentation.md","node_modules\next\dist\docs\02-pages\04-api-reference\02-file-conventions\instrumentation.md","0,5"
"proxy.md","node_modules\next\dist\docs\02-pages\04-api-reference\02-file-conventions\proxy.md","0,5"
"public-folder.md","node_modules\next\dist\docs\02-pages\04-api-reference\02-file-conventions\public-folder.md","0,5"
"src-folder.md","node_modules\next\dist\docs\02-pages\04-api-reference\02-file-conventions\src-folder.md","0,5"
"get-initial-props.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\get-initial-props.md","3,7"
"get-server-side-props.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\get-server-side-props.md","7,4"
"get-static-paths.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\get-static-paths.md","12,3"
"get-static-props.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\get-static-props.md","12,6"
"index.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\index.md","0,4"
"next-request.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\next-request.md","0,4"
"next-response.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\next-response.md","0,4"
"use-params.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\use-params.md","6,9"
"userAgent.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\userAgent.md","0,5"
"use-report-web-vitals.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\use-report-web-vitals.md","0,4"
"use-router.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\use-router.md","20"
"use-search-params.md","node_modules\next\dist\docs\02-pages\04-api-reference\03-functions\use-search-params.md","9,9"
"adapterPath.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\adapterPath.md","0,5"
"allowedDevOrigins.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\allowedDevOrigins.md","0,5"
"assetPrefix.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\assetPrefix.md","0,5"
"basePath.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\basePath.md","0,5"
"bundlePagesRouterDependencies.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\bundlePagesRouterDependencies.md","1"
"compress.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\compress.md","0,6"
"crossOrigin.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\crossOrigin.md","0,5"
"deploymentId.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\deploymentId.md","0,5"
"devIndicators.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\devIndicators.md","0,5"
"distDir.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\distDir.md","0,5"
"env.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\env.md","0,5"
"exportPathMap.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\exportPathMap.md","0,5"
"generateBuildId.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\generateBuildId.md","0,5"
"generateEtags.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\generateEtags.md","0,5"
"headers.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\headers.md","0,5"
"httpAgentOptions.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\httpAgentOptions.md","0,5"
"images.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\images.md","0,5"
"index.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\index.md","0,5"
"logging.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\logging.md","0,5"
"onDemandEntries.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\onDemandEntries.md","0,5"
"optimizePackageImports.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\optimizePackageImports.md","0,5"
